image_path,label,mean_left_knee_angle,mean_right_knee_angle,mean_left_thigh_angle,mean_right_thigh_angle,mean_torso_tilt,mean_head_above_shoulders,mean_wrist_dist_drink_related,mean_face_dist_drink_related,mean_wrist_dist_phone_related,mean_face_dist_phone_related,mean_wrist_dist_laptop_related,mean_face_dist_laptop_related,mean_hip_dist_chair_related,min_left_knee_angle,min_right_knee_angle,min_left_thigh_angle,min_right_thigh_angle,min_torso_tilt,min_head_above_shoulders,min_wrist_dist_drink_related,min_face_dist_drink_related,min_wrist_dist_phone_related,min_face_dist_phone_related,min_wrist_dist_laptop_related,min_face_dist_laptop_related,min_hip_dist_chair_related,max_wrist_near_chair_related_sec,max_face_near_chair_related_sec,max_wrist_near_drink_related_sec,max_face_near_drink_related_sec,max_wrist_near_laptop_related_sec,max_face_near_laptop_related_sec,max_wrist_near_phone_related_sec,max_face_near_phone_related_sec,max_wrist_near_reading_related_sec,max_face_near_reading_related_sec
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_0,brush_hair,999.0,999.0,999.0,999.0,143.59993517886258,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.000277313201065805,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_1,brush_hair,999.0,999.0,999.0,999.0,144.66095392216536,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.32674775014471064,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/April_09_brush_hair_u_nm_np1_ba_goo_2,brush_hair,999.0,999.0,999.0,999.0,274.5223394809749,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.5191320199105824,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4,brush_hair,999.0,999.0,999.0,999.0,999.0,0.5555555555555556,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3,brush_hair,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0,brush_hair,999.0,999.0,999.0,999.0,999.0,0.2,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1,brush_hair,999.0,999.0,999.0,999.0,999.0,-0.3333333333333333,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2,brush_hair,999.0,999.0,999.0,999.0,999.0,-0.42857142857142855,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,-1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3,brush_hair,999.0,999.0,999.0,999.0,643.9916027272384,0.8571428571428571,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.6435601857500953,-1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/home/rajat/datasets/hmdb51_kaggle/extracted/brush_hair/Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1,brush_hair,999.0,999.0,999.0,999.0,114.82000248691533,1.0,999.0,999.0,999.0,999.0,999.0,999.0,888.0570300040488,999.0,999.0,999.0,999.0,0.41234114978382114,1.0,999.0,999.0,999.0,999.0,999.0,999.0,0.49433697251909886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
