image_path,label,left_knee_angle,right_knee_angle,left_thigh_angle,right_thigh_angle,torso_tilt,head_above_shoulders,wrist_dist_drink_related,face_dist_drink_related,wrist_dist_phone_related,face_dist_phone_related,wrist_dist_laptop_related,face_dist_laptop_related,hip_dist_chair_related
/home/rajat/datasets/har/Train_sorted/calling/Image_10019.jpg,calling,999.0,999.0,999.0,82.35993717683873,11.354835641179545,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10022.jpg,calling,999.0,999.0,40.33667490325907,44.08984575596353,0.4496405250344656,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10023.jpg,calling,999.0,999.0,999.0,999.0,3.996810320292944,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10027.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,0.4636782811688061,0.4849657442701729,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_1003.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10034.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10051.jpg,calling,999.0,999.0,999.0,999.0,7.447775048210772,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10059.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10082.jpg,calling,21.845442684747134,5.73601030139968,999.0,999.0,5.816704643884059,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10084.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10137.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,0.24193286162521738,0.13477929446361794,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10141.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10143.jpg,calling,999.0,999.0,999.0,999.0,12.429276475717966,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10163.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10164.jpg,calling,999.0,999.0,999.0,999.0,7.545478481049656,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10166.jpg,calling,999.0,999.0,999.0,999.0,1.8924475403876009,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10203.jpg,calling,999.0,999.0,999.0,999.0,10.306283294779709,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10227.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10231.jpg,calling,999.0,999.0,999.0,999.0,999.0,1.0,0.21845957129316051,0.46512970969281264,999.0,999.0,999.0,999.0,999.0
/home/rajat/datasets/har/Train_sorted/calling/Image_10245.jpg,calling,999.0,999.0,999.0,999.0,7.671586563325636,1.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
