object_class,mean_wrist_dist,min_wrist_dist,max_wrist_near_sec,mean_face_dist,min_face_dist,max_face_near_sec,mean_shoulder_dist,min_shoulder_dist,mean_hip_dist,min_hip_dist,mean_knee_dist,min_knee_dist,obj_width_norm,obj_height_norm,openable,cuttable,pourable,containable,supportable,holdable
unknown,0.022677215944336897,0.0,0.26666666666666666,0.11179434263260782,0.08703532603134262,0.26666666666666666,0.15633053781713738,0.13270243496091055,0.46568906072313465,0.4421275511602268,0.703587356139674,0.6853415056239942,0.16640625,0.221875,0,0,0,0,0,1
unknown,0.12217602517733049,0.07702939101656804,0.23333333333333334,0.1340922250128545,0.1160048148709309,0.23333333333333334,0.2746828239089392,0.2587713756795661,0.392382287788764,0.37826807540337654,0.5157951313942101,0.5027109463240796,0.27499999999999997,0.36666666666666664,1,0,0,0,1,0
unknown,0.0,0.0,0.2,0.1551772286946845,0.13244051775711435,0.2,0.26012993587928196,0.22340484636817062,0.40410850567178924,0.36777036893543025,0.5487945538968816,0.5178875209574871,0.2994791666666667,0.3993055555555555,1,0,1,0,1,0
unknown,0.11022098490859311,0.027402000079888546,0.3,0.15245980927411854,0.12825093987031497,0.3,0.2646340777994763,0.24533682648195765,0.3741201884769034,0.35207444177365244,0.503366867198383,0.46705445428627185,0.2819444444444444,0.37592592592592594,1,0,0,0,1,0
unknown,0.006247839666669597,0.0,0.23333333333333334,0.1608851534984159,0.12415711420566498,0.23333333333333334,0.26956872437357104,0.24766243433190102,0.39393029306539257,0.35122278833656223,0.5016616978642868,0.47170027187085284,0.3125,0.4166666666666667,1,0,1,0,1,0
unknown,0.09516252071748865,0.056138692904794216,0.3,0.18382121972459087,0.07006878166403481,0.3,0.28978112122505195,0.2132183703081421,0.3660982659327851,0.33786506000428235,0.4956436199557127,0.47843392189248257,0.28645833333333326,0.3819444444444444,1,0,0,0,1,0
unknown,0.0,0.0,0.16666666666666666,0.16367956766571237,0.157200440600194,0.16666666666666666,0.2672708104270502,0.24784697630331753,0.3972720383927776,0.3583063145628653,0.5334111237581796,0.5154110360853781,0.305,0.4066666666666666,1,0,1,0,1,0
unknown,0.10229973053162471,0.06788225639864741,0.2,0.1771395912241114,0.0785043715619508,0.2,0.2842614448473902,0.22626259410632965,0.35644541716668593,0.32978332257374654,0.4929153054464103,0.4775671933762164,0.290625,0.3875,1,0,0,0,1,0
unknown,0.17181446233678535,0.08711814738985425,0.1,0.0,0.0,0.16666666666666666,0.13894476565009334,0.10260640276912658,0.5087198745367022,0.47294302167864616,0.7475969786189924,0.7018227206374864,0.13562500000000002,0.18083333333333335,0,0,0,0,0,1
unknown,0.0,0.0,0.2,0.09411084233037442,0.08295460289112781,0.2,0.08555854016199738,0.0780521096148193,0.14407009145954805,0.13406576779749083,0.2960444846779175,0.27330657392306135,0.14427083333333332,0.1923611111111111,0,0,1,1,0,1
unknown,0.10532888031807564,0.09128317006899592,0.2,0.0,0.0,0.2,0.1346590479221335,0.10134810649277493,0.5271600426256028,0.500338649697583,0.7601215516203886,0.7260351254466801,0.13697916666666668,0.18263888888888888,0,0,0,0,0,1
unknown,0.0,0.0,0.1,0.09944768997691034,0.09368994296220205,0.1,0.07309477862232787,0.06510099632451802,0.15109807003742962,0.14315633076021192,0.28239268168258264,0.25853621585765507,0.14270833333333333,0.19027777777777777,0,0,1,1,0,1
unknown,0.0992158642825209,0.09758404847453277,0.1,0.0,0.0,0.1,0.12364117000638068,0.11624288788511944,0.4990284000625332,0.4937784167706409,0.7465888006987017,0.7436649726977931,0.13541666666666666,0.18055555555555555,0,0,0,0,0,1
unknown,0.0,0.0,0.13333333333333333,0.20601569615990722,0.1971529818539073,0.13333333333333333,0.15931492833728816,0.1554463468928717,0.20875873277749124,0.19587873808727468,0.2770442004109894,0.26574719759014487,0.153125,0.20416666666666666,0,0,1,1,0,1
unknown,0.12282958341085837,0.08924748943933888,0.16666666666666666,0.0,0.0,0.16666666666666666,0.11398315020054917,0.10084612926249584,0.5052071598760153,0.48818175105452777,0.7567802179966316,0.7473115695003799,0.145625,0.19416666666666665,0,0,0,0,0,1
unknown,0.0,0.0,0.1,0.2745080103731133,0.2642914000501466,0.06666666666666667,0.18180097106394857,0.16218158918001652,0.23299826590244846,0.21454208821383514,0.18374196407907953,0.1721939693796524,0.1625,0.21666666666666667,0,0,1,1,0,1
unknown,0.04908654687807526,0.0401817828607479,0.06666666666666667,0.0,0.0,0.06666666666666667,0.10426726922545475,0.08164480694587098,0.4928333774456627,0.474409123957023,0.7276337112438507,0.7108104157289972,0.1453125,0.19375,0,0,0,0,0,1
unknown,0.0,0.0,0.1,0.26373702541797617,0.2465734996618711,0.1,0.17067459224599724,0.16112434140562995,0.24074727039473898,0.239361000576444,0.20370722076184747,0.18975664928353445,0.16354166666666667,0.21805555555555556,0,0,1,1,0,1
unknown,0.43606789708182325,0.386955553958781,0.0,0.6706875843013482,0.578362868483351,0.0,0.5036364587413813,0.4136106195223593,0.5004837634130933,0.42073766198291684,999.0,999.0,0.20989583333333336,0.27986111111111117,1,0,0,1,0,1
unknown,0.19139262044104718,0.0,0.1,0.3579657060966257,0.34183130566217623,0.0,0.17933082093656783,0.13329734979674934,0.01819273890270333,0.0,999.0,999.0,0.23020833333333335,0.3069444444444444,0,0,0,0,0,1
unknown,0.2957653560431251,0.007275752047049446,0.13333333333333333,0.5932223864198222,0.27549897542506285,0.03333333333333333,0.44141083014967036,0.16940973215829533,0.47849277113021194,0.2984111676610165,999.0,999.0,0.21008522727272724,0.28011363636363634,1,0,0,1,0,1
unknown,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.11034265694553588,0.10386784222058483,999.0,999.0,0.315625,0.42083333333333334,1,0,0,0,1,0
unknown,0.0,0.0,0.23333333333333334,0.0,0.0,0.23333333333333334,0.0,0.0,0.12280788752192487,0.0997683965793791,999.0,999.0,0.3223214285714286,0.42976190476190473,1,0,1,0,1,0
unknown,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.07550263891930946,0.03992990282535856,399.8309017384882,0.351275830101317,0.42124999999999996,0.5616666666666668,1,0,1,0,1,1
